code,thema
1,"Rheinufer (inkl. Birsk?pfli, Hafenareal, usw.), Birs, Wiese"
2,Kurze Wege
3,?ffentlicher Verkehr
4,"Viele Ladengesch?fte, Restaurants"
5,"Parks, Pl?tze, Grünfl?chen"
6,Menschen
7,"Freizeitangebote (Sport, Kulturelle Anl?sse etc.)"
8,Alles
10,Nichts
11,Schule/ Ausbildung/ Arbeitsm?glichkeiten
12,"Stadt (Innenstadt, Gr?sse der Stadt, Basel ist sch?n) "
13,Riehen
14,Sicherheit
15,Infrastruktur
16,Kulturelle Vielfalt
17,Lebens- und Wohnstandard
18,Ruhe
19,"Weltoffenheit, Gerechtigkeitssinn, Demokratie"
20,Sauberkeit
9,Anderes
99,Weiss nicht
999,Keine Angabe
