B) Fragebogen-ID,F13 Was gef?llt Dir hier besonders gut?
1,"Die N?he zur Stadt und dass man mit der BVB überall gut hinkommt. Mir gef?llt, dass man im Rhein schwimmen kann und alles sehr kompakt ist. Und natürlich die Fasnacht."
2,Das es den FCB gibt.
3,"Mir gef?llt, dass die Innenstadt kompakt ist, dass der Rhein durch Basel fliesst."
4,"Ich mag die eher ruhige Umgebung, die aber trotzdem relativ nahe am Zentrum liegt (also mit Tram und Bus kommt man schnell in die Stadt)."
5,
6,Die Innenstadt  das ?ffentliche Verkehrssystem  Direkt an der Grenze zu Deutschland und Frankreich
7,"Das es hier viele Unterhaltungsm?glichkeiten, wie Kino, Schwimmb?der etc., hat. Und die vielen Cafés"
8,"Park in der N?he, lange Erlen-> Pumpwerk  Freunde, Trammhaltestelle in der N?he, Spital"
9,"Dass es viele Freizeitm?glichkeiten gibt (Rhein, Parks etc.)"
10,Ausgang abends  Lange Erlen
11,Eigentlich fast alles
12,vorhandene Grünfl?chen
13,"Es ist nicht zu klein und nicht zu gross. Man kennt viele Leute, kann aber noch mehr kennenlernen."
14,Es hat viele grüne P?rke
15,Das man Abends raus gehen kann und es ziemlich sicher ist.
16,Basel  Rhy schwimme
17,Das man so schnell einkaufen kann.
18,Stadt
19,
20,viel Grün
21,"Das man ganz schnell nach Deutschland kommt.  Und, dass alles in der N?he isch"
22,Schulareal  Stadt  Bus/ Tram-Verbindungen
23,alles
24,Man hat alles was man braucht und ist nahe an den Grenzen
25,
26,"die Menschen, die Klima"
27,Die m?glichkeit schnell in der Stadt zu sein. Ist gross. Die vielen Verk?hrsm?glichkeiten.
28,
29,
30,
31,Man kann vieles machen aktivit?ten etc.
32,
33,
34,Es gibt viele m?gliche Sachen zum unternehmen
35,"Die Stadt, die Einkaufsl?den, man hat fast alles was man im Notfall braucht"
36,
37,
38,
39,Das es schulisch so viele m?glichkeiten gibt.
40,die alten Geb?ude  die Buse und trams  den Rhein
41,
42,Die M?glichkeiten die wir haben und es ist einfach toll hier.
43,Ein paar die freundlich sind zu mir.  Die Laden
44,Alles
45,"Die Parks, die Trams und die Busse"
46,Die Parks
47,Der Rhein
48,"Schwimmbad, Park, Laden, Bibliotheke"
